[MS Spectrum]
# of Peaks	679
Raw Spectrum	29.540 (scan : 7963)
Background	No Background Spectrum
Base Peak	m/z 55.10 (Inten : 50,001)
Event#	1
m/z	Absolute Intensity	Relative Intensity
765.90	62	0.12
766.90	21	0.04
767.90	47	0.09
768.90	30	0.06
770.90	10	0.02
771.90	29	0.06
773.90	87	0.17
774.90	13	0.03
775.90	16	0.03
776.90	16	0.03
777.90	36	0.07
778.90	81	0.16
779.90	34	0.07
780.90	22	0.04
781.90	21	0.04
782.90	55	0.11
783.90	49	0.10
784.90	3	0.01
785.90	3	0.01
786.90	47	0.09
787.90	58	0.12
788.90	81	0.16
789.90	16	0.03
791.90	19	0.04
792.90	73	0.15
793.90	74	0.15
794.90	49	0.10
796.90	16	0.03
797.90	39	0.08
798.90	54	0.11
799.90	55	0.11
